Image,Focus,Astig,Phaseshift,CCC,Res_lim
img_0000972_df_RAW4.epa,302.08,127.89,34.31,0.017934,3.937
img_0001011_df_RAW2.epa,"1,572.38",94.38,75.47,0.037905,3.696
img_0001017_df_RAW2.epa,"1,480.06",84.71,79.23,0.094454,5.274
img_0001063_df_RAW2.epa,"1,122.57",90.04,85.89,0.038711,5.529
img_0001065_df_RAW2.epa,"1,251.60",75.97,91.90,0.047056,5.392
img_0001086_df_RAW2.epa,"2,316.56",99.46,77.21,0.042393,5.224
img_0001097_df_RAW4.epa,"1,450.39",81.30,75.80,0.114503,4.693
img_0001137_df_RAW2.epa,552.55,64.73,103.79,0.046794,5.986
img_0001188_df_RAW2.epa,"1,693.00",81.27,81.05,0.090729,5.313
img_0001208_df_RAW4.epa,"1,020.35",55.32,58.42,0.101287,4.786
img_0001258_df_RAW4.epa,650.25,76.26,59.68,0.065994,5.174
img_0001261_df_RAW2.epa,"1,242.04",107.23,98.00,0.031483,5.405
img_0001286_df_RAW4.epa,836.92,63.23,45.57,0.113533,4.565
img_0001301_df_RAW2.epa,"2,192.07",123.19,97.44,0.045376,5.339
img_0001303_df_RAW2.epa,"2,018.52",108.50,90.98,0.037505,5.053
img_0001326_df_RAW4.epa,398.64,66.88,56.65,0.078568,3.973
img_0001344_df_RAW2.epa,"1,804.69",116.01,103.76,0.050832,3.747
img_0001356_df_RAW4.epa,802.11,92.20,42.64,0.098302,4.363
img_0001422_df_RAW2.epa,"1,243.13",73.44,101.24,0.034188,5.274
img_0001477_df_RAW2.epa,"1,037.84",17.37,102.50,0.068854,5.162
img_0001487_df_RAW2.epa,"1,241.89",36.81,112.00,0.075913,5.718
img_0001506_df_RAW2.epa,720.32,58.14,108.96,0.052313,5.734
